Image,Area,Perimeter,AspectRatio,Extent,Solidity
ceplok1.jpg,335421.5,5496.484733581543,1.8295454545454546,0.9469833427442124,0.9508598011089818
ceplok2.jpg,470670.5,7509.390489935875,1.0,0.9605520408163265,0.9634206750303455
ceplok3.jpg,191821.5,6742.669708967209,1.4414414414414414,0.675047508445946,0.70428101995484
ceplok4.jpg,104282.5,3775.46122777462,1.3745704467353952,0.8958977663230241,0.9012401693889898
ceplok5.jpg,66429.0,2051.9006999731064,1.2345679012345678,0.9112345679012346,0.9210834644795862
ceplok6.jpg,1448688.5,9065.63852238655,1.3333333333333333,0.7545252604166667,0.765143822775925
ceplok7.jpg,228933.5,3423.7556047439575,1.4705882352941178,0.9351858660130719,0.9402230495485413
gray_ceplok1.jpg,55943.0,2200.729131937027,1.103448275862069,0.9419282058189655,0.9498688354797905
gray_ceplok2.jpg,62606.0,2294.126098513603,1.0,0.955291748046875,0.9628433453292732
gray_ceplok3.jpg,43399.0,3104.615556359291,1.0,0.6622161865234375,0.6933966032369905
gray_ceplok4.jpg,57606.5,2872.334250807762,1.0,0.8790054321289062,0.8859131103421761
gray_ceplok5.jpg,59170.0,1747.165640592575,1.0,0.902862548828125,0.9129904797173232
gray_ceplok6.jpg,48840.5,1671.976824760437,1.0,0.7452468872070312,0.7606310494389547
gray_ceplok7.jpg,60989.5,1738.7564806938171,1.0,0.9306259155273438,0.939109078590786
gray_kawung1.jpg,4406.5,1052.5798579454422,1.2574257425742574,0.3435331722148593,0.4790975808643653
gray_kawung2.jpg,65000.5,1035.698484301567,1.0,0.9918289184570312,0.9996232218377548
gray_kawung3.jpg,54693.5,2524.157624602318,1.0,0.8345565795898438,0.8449351933385858
gray_kawung4.jpg,61033.0,1730.714850306511,1.0,0.9312896728515625,0.9396486690376118
gray_kawung5.jpg,55151.5,3280.0053837299347,1.0,0.8415451049804688,0.8487457679285935
gray_kawung6.jpg,24786.5,2319.4368439912796,1.1428571428571428,0.4322422572544643,0.558191645085013
gray_kawung7.jpg,56744.0,4787.864460349083,1.0,0.8658447265625,0.8745049085332963
kawung1.jpg,45087.0,1670.7190300226212,1.2679245283018867,0.5063679245283019,0.796667520695474
kawung2.jpg,2394970.0,6914.773724913597,0.9375,0.9979041666666667,0.9991943764051999
kawung3.jpg,63999.5,2869.9221247434616,1.5981735159817352,0.8349575994781474,0.8446994694190006
kawung4.jpg,406863.0,4466.213535785675,1.4760147601476015,0.9383371771217712,0.9423251074079649
kawung5.jpg,73784.0,3837.0663472414017,1.0,0.8198222222222222,0.8352937180895023
kawung6.jpg,632643.0,32638.138444066048,1.0,0.6033353805541992,0.6474332897885751
kawung7.jpg,1913768.5,18575.994183421135,1.5403508771929824,0.9560047256523998,0.957611795561678
normalized_ceplok1.jpg,55943.0,2200.729131937027,1.103448275862069,0.9419282058189655,0.9498688354797905
normalized_ceplok2.jpg,62606.0,2294.126098513603,1.0,0.955291748046875,0.9628433453292732
normalized_ceplok3.jpg,43399.0,3103.7871292829514,1.0,0.6622161865234375,0.6933966032369905
normalized_ceplok4.jpg,57606.5,2872.334250807762,1.0,0.8790054321289062,0.8859131103421761
normalized_ceplok5.jpg,59170.0,1747.165640592575,1.0,0.902862548828125,0.9129904797173232
normalized_ceplok6.jpg,48840.5,1671.976824760437,1.0,0.7452468872070312,0.7606310494389547
normalized_ceplok7.jpg,60989.5,1738.7564806938171,1.0,0.9306259155273438,0.939109078590786
normalized_kawung1.jpg,4406.5,1052.5798579454422,1.2574257425742574,0.3435331722148593,0.4790975808643653
normalized_kawung2.jpg,64997.5,1038.5269113779068,1.0,0.9917831420898438,0.9995770857362553
normalized_kawung3.jpg,54693.5,2524.157624602318,1.0,0.8345565795898438,0.8449351933385858
normalized_kawung4.jpg,61033.0,1730.714850306511,1.0,0.9312896728515625,0.9396486690376118
normalized_kawung5.jpg,55151.5,3280.0053837299347,1.0,0.8415451049804688,0.8487457679285935
normalized_kawung6.jpg,24784.0,2320.8510575294495,1.1428571428571428,0.4321986607142857,0.5581353451187929
normalized_kawung7.jpg,56740.5,4773.621819734573,1.0,0.8657913208007812,0.8744509686069629
resized_ceplok1.jpg,55943.0,2200.729131937027,1.103448275862069,0.9419282058189655,0.9498688354797905
resized_ceplok2.jpg,62606.0,2294.126098513603,1.0,0.955291748046875,0.9628433453292732
resized_ceplok3.jpg,43399.0,3103.7871292829514,1.0,0.6622161865234375,0.6933966032369905
resized_ceplok4.jpg,57606.5,2872.334250807762,1.0,0.8790054321289062,0.8859131103421761
resized_ceplok5.jpg,59170.0,1747.165640592575,1.0,0.902862548828125,0.9129904797173232
resized_ceplok6.jpg,48840.5,1671.976824760437,1.0,0.7452468872070312,0.7606310494389547
resized_ceplok7.jpg,60989.5,1738.7564806938171,1.0,0.9306259155273438,0.939109078590786
resized_kawung1.jpg,4406.5,1052.5798579454422,1.2574257425742574,0.3435331722148593,0.4790975808643653
resized_kawung2.jpg,64997.5,1038.5269113779068,1.0,0.9917831420898438,0.9995770857362553
resized_kawung3.jpg,54693.5,2524.157624602318,1.0,0.8345565795898438,0.8449351933385858
resized_kawung4.jpg,61033.0,1730.714850306511,1.0,0.9312896728515625,0.9396486690376118
resized_kawung5.jpg,55151.5,3280.0053837299347,1.0,0.8415451049804688,0.8487457679285935
resized_kawung6.jpg,24784.0,2320.8510575294495,1.1428571428571428,0.4321986607142857,0.5581353451187929
resized_kawung7.jpg,56740.5,4773.621819734573,1.0,0.8657913208007812,0.8744509686069629
